lat4,lon4,month,sif4,lat3,lon3,sif3,lat2,lon2,sif2,lat1,lon1,sif1
21.25,70.25,2015-06,0.211781874,21.25,70.75,-0.223068535,21.75,70.25,0.313510865,21.75,70.75,0.446955264
21.25,70.25,2015-07,-0.189797044,21.25,70.75,-0.051169761,21.75,70.25,-0.04490051,21.75,70.75,-0.152914017
21.25,70.25,2015-08,-0.173487619,21.25,70.75,0.182162181,21.75,70.25,-0.044516832,21.75,70.75,0.009690764
21.25,70.25,2015-09,-0.094481416,21.25,70.75,-0.111948565,21.75,70.25,0.30182898,21.75,70.75,0.411141545
21.25,70.25,2015-10,0.001158022,21.25,70.75,0.027741212,21.75,70.25,0.240686402,21.75,70.75,0.110407412
21.25,70.25,2015-11,-0.189579755,21.25,70.75,-0.053569648,21.75,70.25,0.098297894,21.75,70.75,0.045772858
21.25,70.25,2015-12,-0.097718135,21.25,70.75,0.10918393,21.75,70.25,-0.134231359,21.75,70.75,-0.109049469
21.25,70.25,2016-01,0.065826498,21.25,70.75,0.12130668,21.75,70.25,0.202062219,21.75,70.75,0.055253826
21.25,70.25,2016-02,0.059569243,21.25,70.75,0.038164467,21.75,70.25,0.074171849,21.75,70.75,0.17430599
21.25,70.25,2016-03,-0.150115192,21.25,70.75,0.00207339,21.75,70.25,-0.028589163,21.75,70.75,0.185867637
21.25,70.25,2016-04,0.00488181,21.25,70.75,-0.159513801,21.75,70.25,0.051497731,21.75,70.75,0.023820357
21.25,70.25,2016-05,0.02453691,21.25,70.75,0.103007965,21.75,70.25,0.050666559,21.75,70.75,-0.089018479
21.25,70.25,2016-06,-0.091966726,21.25,70.75,-0.196713999,21.75,70.25,-0.14460744,21.75,70.75,0.301477373
21.25,70.25,2016-07,-0.121157676,21.25,70.75,0.073287264,21.75,70.25,-0.145108268,21.75,70.75,0.471871614
21.25,70.25,2016-08,0.293509036,21.25,70.75,0.11011745,21.75,70.25,-0.01862287,21.75,70.75,0.260540485
21.25,70.25,2016-09,0.216024607,21.25,70.75,-0.409485817,21.75,70.25,0.452767432,21.75,70.75,0.242469743
21.25,70.25,2016-10,-0.221018463,21.25,70.75,-0.077165455,21.75,70.25,0.298193812,21.75,70.75,0.307346225
21.25,70.25,2016-11,-0.010505221,21.25,70.75,0.179352418,21.75,70.25,-0.284285367,21.75,70.75,0.059463654
21.25,70.25,2016-12,-0.041976321,21.25,70.75,0.080345914,21.75,70.25,0.249725655,21.75,70.75,0.176036745
21.25,70.25,2017-01,-0.149862483,21.25,70.75,0.000802655,21.75,70.25,-0.010929028,21.75,70.75,0.175899789
21.25,70.25,2017-02,-0.018352035,21.25,70.75,0.063580923,21.75,70.25,0.3423419,21.75,70.75,-0.027925435
